scenario,step,load_kw,pv_kw,wind_kw,price,carbon_g_per_kwh,carbon_observed_g_per_kwh
2019-01-01,0,947.9024921270558,0.0,223.2227488151659,0.06012,112.5,113.0
2019-01-01,1,943.2836981454843,0.0,223.51691452851773,0.05576,107.0,112.5
2019-01-01,2,858.8857353913146,0.0,214.2506945579343,0.04623,113.0,107.0
2019-01-01,3,773.2980832782551,0.0,202.1163588821703,0.0441,108.5,113.0
2019-01-01,4,736.1377862447029,0.0,191.13417225036773,0.04441,114.0,108.5
2019-01-01,5,733.6184440729365,0.0,183.0201013237457,0.04603,127.0,114.0
2019-01-01,6,772.458302554333,0.0,175.98463801274718,0.051,135.5,127.0
2019-01-01,7,855.0717312701685,0.0,169.2923680339925,0.039,131.5,135.5
2019-01-01,8,911.8619027253995,8.148148148148147,158.3346952116359,0.04417,159.5,131.5
2019-01-01,9,1022.8529217371021,77.48148148148148,142.96453668900148,0.0513,185.5,159.5
2019-01-01,10,1129.9949457641617,195.55555555555554,134.8014381434875,0.05794,199.5,185.5
2019-01-01,11,1203.8606586058086,296.2962962962963,135.0465762379474,0.054090000000000006,209.5,199.5
2019-01-01,12,1237.6968236071693,288.14814814814815,134.70338290570356,0.05795,221.0,209.5
2019-01-01,13,1233.0080478986044,205.18518518518516,128.13368197417878,0.06584999999999999,232.0,221.0
2019-01-01,14,1223.280587846507,107.25925925925925,126.2951462657297,0.07,244.5,232.0
2019-01-01,15,1239.0614672835427,21.037037037037035,126.98153293021736,0.0489,268.5,244.5
2019-01-01,16,1341.8296333735082,0.14814814814814814,118.18107533910771,0.06993,294.5,268.5
2019-01-01,17,1406.8426577504763,0.0,116.53865010622651,0.08484,295.5,294.5
2019-01-01,18,1376.4705882352941,0.0,113.03317535545024,0.07057,295.5,295.5
2019-01-01,19,1323.9493021266671,0.0,112.2977610720706,0.069,276.5,295.5
2019-01-01,20,1257.641615800319,0.0,114.03824154273575,0.06043,265.0,276.5
2019-01-01,21,1171.1442012363439,0.0,110.70436345808139,0.05389,255.0,265.0
2019-01-01,22,1032.2654640177288,0.0,106.85569537506129,0.05044,254.0,255.0
2019-01-01,23,958.4697329030754,0.0,63.73590455956856,0.04901,238.0,254.0
2019-01-02,0,954.0608841024845,0.0,94.37816636705344,0.05196,245.5,238.0
2019-01-02,1,935.795653357179,0.0,89.23026638339599,0.052450000000000004,254.0,245.5
2019-01-02,2,897.5856304187241,0.0,82.07223402516752,0.04992,260.5,254.0
2019-01-02,3,868.5432137164186,0.0,79.98856022225854,0.048530000000000004,260.5,260.5
2019-01-02,4,855.8065394036003,0.0,78.8609249877431,0.047990000000000005,264.0,260.5
2019-01-02,5,913.2615372652697,0.0,80.72397450563818,0.05005,277.0,264.0
2019-01-02,6,1110.3300804789862,0.0,78.90995260663507,0.06282,307.5,277.0
2019-01-02,7,1194.868006687143,0.0,74.44843928746528,0.05004,332.0,307.5
2019-01-02,8,1370.6970957583299,10.37037037037037,72.04608596175846,0.053,329.0,332.0
2019-01-02,9,1463.702810932701,77.92592592592592,66.99624121588495,0.056369999999999996,340.0,329.0
2019-01-02,10,1519.8981377084874,224.44444444444443,61.40709266219971,0.05871,341.5,340.0
2019-01-02,11,1533.439601881731,269.6296296296296,55.866971727406444,0.05795,342.5,341.5
2019-01-02,12,1538.8631857237278,228.88888888888889,53.34204935446969,0.06344,349.0,342.5
2019-01-02,13,1538.128377590296,163.7037037037037,46.11047556790325,0.06294,357.5,349.0
2019-01-02,14,1537.3935694568643,86.51851851851852,41.9676417715313,0.06393,374.5,357.5
2019-01-02,15,1521.787644337312,16.14814814814815,40.88903415590783,0.065,382.0,374.5
2019-01-02,16,1606.3955522724623,0.2962962962962963,36.0843275044942,0.08109999999999999,386.5,382.0
2019-01-02,17,1643.4508767155244,0.14814814814814814,39.565288445824486,0.10995,378.0,386.5
2019-01-02,18,1626.445317056102,0.0,41.37931034482759,0.085,380.5,378.0
2019-01-02,19,1587.3255316667316,0.0,42.11472462820723,0.07994,392.0,380.5
2019-01-02,20,1489.4560864663117,0.0,41.18319986925968,0.066,385.5,392.0
2019-01-02,21,1382.034135531278,0.0,41.796045105409384,0.05593,351.0,385.5
2019-01-02,22,1247.7741922942344,0.0,42.70305605491093,0.05011,324.5,351.0
2019-01-02,23,1104.4516154115315,0.0,41.74701748651741,0.055,315.5,324.5
2019-01-03,0,1072.8898565374598,0.0,44.83575747671188,0.054990000000000004,316.0,315.5
2019-01-03,1,1055.6743516970569,0.0,42.70305605491093,0.055,317.5,316.0
2019-01-03,2,994.0904319427706,0.0,40.76646510867789,0.054920000000000004,328.5,317.5
2019-01-03,3,960.9890750748416,0.0,41.5509070109495,0.05108,328.5,328.5
2019-01-03,4,945.453131682283,0.0,25.51887563327341,0.051,329.5,328.5
2019-01-03,5,1002.4532483184947,0.0,42.06569700931525,0.05191,339.5,329.5
2019-01-03,6,1172.7887718206914,0.0,42.85013891158686,0.061399999999999996,351.0,339.5
2019-01-03,7,1334.4815520391899,0.0,42.28632129432914,0.06274,375.0,351.0
2019-01-03,8,1454.885113331519,2.962962962962963,39.51626082693251,0.0702,397.0,375.0
2019-01-03,9,1510.6955406088412,34.37037037037037,37.75126654682138,0.074,409.0,397.0
