method,completed_seeds,failed_seeds,HV_mean,HV_std,IGD_mean,paired_HV_CI_low,paired_HV_CI_high
central,5,0,10151.543664909945,460.63453311456607,1.7665437573671459,-383.7438686255632,2720.450134571643
communication,5,0,9790.087104861837,578.1462701403844,1.0735878154600091,-588.1818257520923,2201.9749716019573
computation,5,0,9049.14844905007,1276.6232296819967,1.4779197787920026,-1875.1120907179009,2007.0279249442299
control,5,0,9318.322589658366,939.5940911812654,1.4023030566215726,-1219.6594784481572,1889.9235938910838
coordinator,5,0,9548.277733524295,785.302659867647,1.2241882919396931,-914.6300260443811,2044.8044292191628
fixed,5,0,9524.746290407675,436.3130459750634,1.081643811463461,-148.67180726473373,1231.7833242062734
joint,5,0,9573.508830792067,959.5219757831853,1.1774302500030933,-1079.7891597388668,2260.425757449193
no_residual,5,0,9343.56181545153,900.9947497834311,1.3810287029849682,-1163.5666197961605,1884.3091868254155
ordinary,5,0,8983.190531936905,879.7820073367375,1.3765938172151364,0.0,0.0
